Motif_ID,Match_Count,Rank
96_motif_1,48,1
20_motif_1,54,1
26_motif_1,39,1
93_motif_1,48,1
56_motif_1,91,1
98_motif_1,48,1
6_motif_2,56,1
52_motif_1,44,1
12_motif_2,54,1
55_motif_1,91,1
76_motif_1,91,1
25_motif_1,54,1
15_motif_2,54,1
38_motif_1,41,1
54_motif_1,54,1
18_motif_1,54,1
74_motif_1,48,1
69_motif_1,54,1
99_motif_1,48,1
86_motif_1,48,1
50_motif_1,54,1
77_motif_1,91,1
37_motif_1,54,1
79_motif_1,91,1
71_motif_1,48,1
73_motif_1,48,1
33_motif_1,54,1
57_motif_1,91,1
83_motif_1,48,1
17_motif_1,54,1
100_motif_1,48,1
68_motif_1,54,1
88_motif_1,48,1
59_motif_1,54,1
66_motif_1,54,1
91_motif_1,48,1
45_motif_1,55,1
39_motif_1,54,1
46_motif_1,55,1
75_motif_1,48,1
30_motif_1,54,1
84_motif_1,48,1
70_motif_1,54,1
27_motif_1,54,1
19_motif_1,54,1
97_motif_1,48,1
63_motif_1,54,1
64_motif_1,54,1
49_motif_1,54,1
89_motif_1,48,1
22_motif_1,43,1
61_motif_1,54,1
85_motif_1,48,1
60_motif_1,54,1
10_motif_2,54,1
43_motif_1,47,1
2_motif_3,6,1
31_motif_1,54,1
21_motif_1,43,1
11_motif_2,54,1
23_motif_1,54,1
29_motif_1,54,1
47_motif_1,47,1
51_motif_1,87,1
8_motif_2,56,1
28_motif_1,54,1
65_motif_1,48,1
3_motif_3,5,1
40_motif_1,54,1
87_motif_1,48,1
48_motif_1,54,1
94_motif_1,48,1
35_motif_1,54,1
92_motif_1,48,1
78_motif_1,91,1
7_motif_2,56,1
72_motif_1,48,1
81_motif_1,48,1
41_motif_1,47,1
14_motif_2,54,1
90_motif_1,48,1
82_motif_1,48,1
44_motif_1,47,1
24_motif_1,54,1
101_motif_1,48,1
80_motif_1,91,1
95_motif_1,48,1
9_motif_2,56,1
42_motif_1,47,1
67_motif_1,48,1
58_motif_1,54,1
62_motif_1,54,1
34_motif_1,39,1
32_motif_1,54,1
16_motif_1,54,1
53_motif_1,39,1
36_motif_1,54,1
96_motif_2,6,7
98_motif_2,6,7
91_motif_2,6,7
97_motif_2,6,7
89_motif_2,6,7
90_motif_2,6,7
95_motif_2,6,7
96_motif_3,16,4
98_motif_3,16,4
76_motif_3,19,4
69_motif_2,15,4
77_motif_3,27,4
79_motif_3,20,4
71_motif_3,15,4
73_motif_3,18,4
57_motif_2,27,4
68_motif_2,15,4
59_motif_3,28,4
66_motif_2,15,4
91_motif_3,17,4
70_motif_2,15,4
97_motif_3,17,4
63_motif_2,15,4
64_motif_2,15,4
61_motif_3,14,4
60_motif_3,14,4
94_motif_3,18,4
78_motif_3,23,4
72_motif_3,16,4
81_motif_3,24,4
82_motif_3,18,4
80_motif_3,24,4
95_motif_3,16,4
67_motif_2,13,4
58_motif_3,14,4
62_motif_3,14,4
20_motif_2,70,2
26_motif_2,69,2
56_motif_2,69,2
6_motif_1,70,2
5_motif_1,70,2
12_motif_1,70,2
76_motif_2,69,2
25_motif_2,69,2
15_motif_1,70,2
38_motif_2,70,2
18_motif_2,70,2
74_motif_2,69,2
69_motif_3,69,2
50_motif_2,69,2
37_motif_2,70,2
71_motif_2,69,2
73_motif_2,69,2
33_motif_2,70,2
57_motif_3,69,2
17_motif_2,70,2
68_motif_3,69,2
59_motif_2,69,2
66_motif_3,69,2
45_motif_2,69,2
39_motif_2,70,2
46_motif_2,70,2
75_motif_2,69,2
30_motif_2,70,2
70_motif_3,69,2
27_motif_2,70,2
19_motif_2,70,2
63_motif_3,69,2
64_motif_3,69,2
49_motif_2,69,2
13_motif_1,70,2
22_motif_2,70,2
61_motif_2,69,2
60_motif_2,69,2
10_motif_1,70,2
43_motif_2,69,2
2_motif_1,69,2
31_motif_2,70,2
21_motif_2,70,2
11_motif_1,70,2
23_motif_2,70,2
29_motif_2,69,2
47_motif_2,69,2
4_motif_1,70,2
8_motif_1,70,2
1_motif_1,2,2
28_motif_2,69,2
3_motif_1,70,2
40_motif_2,70,2
48_motif_2,69,2
35_motif_2,70,2
7_motif_1,70,2
72_motif_2,69,2
81_motif_2,69,2
41_motif_2,70,2
14_motif_1,70,2
44_motif_2,69,2
24_motif_2,70,2
9_motif_1,70,2
42_motif_2,69,2
67_motif_3,69,2
58_motif_2,69,2
62_motif_2,69,2
34_motif_2,70,2
32_motif_2,70,2
16_motif_2,70,2
36_motif_2,70,2
20_motif_3,3,11
18_motif_3,3,11
23_motif_3,3,11
24_motif_3,3,11
26_motif_3,36,3
56_motif_3,36,3
25_motif_3,36,3
38_motif_3,36,3
54_motif_3,36,3
74_motif_3,36,3
99_motif_2,36,3
86_motif_3,36,3
50_motif_3,36,3
37_motif_3,36,3
33_motif_3,36,3
83_motif_3,36,3
100_motif_2,36,3
88_motif_3,36,3
45_motif_3,36,3
39_motif_3,36,3
46_motif_3,36,3
75_motif_3,36,3
30_motif_3,36,3
84_motif_3,36,3
27_motif_3,36,3
49_motif_3,36,3
85_motif_3,36,3
43_motif_3,36,3
31_motif_3,36,3
29_motif_3,36,3
47_motif_3,36,3
28_motif_3,36,3
40_motif_3,36,3
87_motif_3,36,3
48_motif_3,36,3
41_motif_3,36,3
44_motif_3,36,3
101_motif_2,36,3
42_motif_3,36,3
34_motif_3,36,3
36_motif_3,36,3
93_motif_2,10,6
12_motif_3,10,6
15_motif_3,9,6
17_motif_3,10,6
19_motif_3,4,6
13_motif_3,9,6
10_motif_3,9,6
11_motif_3,1,6
4_motif_3,2,6
92_motif_2,10,6
7_motif_3,10,6
14_motif_3,9,6
16_motif_3,9,6
93_motif_3,15,5
86_motif_2,15,5
77_motif_2,15,5
79_motif_2,15,5
83_motif_2,15,5
88_motif_2,15,5
84_motif_2,15,5
89_motif_3,15,5
85_motif_2,15,5
87_motif_2,15,5
94_motif_2,15,5
92_motif_3,15,5
78_motif_2,15,5
90_motif_3,15,5
82_motif_2,15,5
80_motif_2,15,5
6_motif_3,4,9
5_motif_2,4,9
2_motif_2,3,9
4_motif_2,4,9
3_motif_2,4,9
5_motif_3,0,17
52_motif_2,3,10
55_motif_2,3,10
51_motif_2,3,10
53_motif_2,3,10
52_motif_3,5,8
55_motif_3,4,8
54_motif_2,5,8
51_motif_3,5,8
65_motif_2,0,8
53_motif_3,5,8
99_motif_3,2,12
100_motif_3,2,12
101_motif_3,2,12
13_motif_2,0,20
22_motif_3,1,15
21_motif_3,1,15
8_motif_3,1,13
9_motif_3,1,13
1_motif_2,0,19
1_motif_3,0,18
65_motif_3,0,16
35_motif_3,1,14
32_motif_3,1,14
